From,To,Strength,Technique,Description,Collator,Reference
Globus pallidus medial segment (GPm),Caudoputamen (CP),moderate,HRP/WGA,"Case pg195, fig3. Soma notes In all cases, numerous labeled perikarya found in ipsi caudate putamen. Only part of CP rostal to cross-over of anterior commisure contained labeled neurons. Dorsal EP injs: dorsal CP label. Ventral EP injs: ventral CP label. Dorsal Injs denser label.. Terminal notes Inj sites of WGA-HRP placed in different subregions of EP --entopeduncular nucleus-- ?5 rats injected in dorsal EP, 4 rats had injs placed in ventral part..",Gully Burns,"Fink-Jensen A,... - The striato-entopeduncular pathway in... (1989) , pp. 194-8"
Globus pallidus medial segment (GPm),Secondary motor area (MOs),moderate,Fluorogold,"Labeled cells spread throughout the BF [collator note: basal forebrain], largely confined to the DBh, ventral pallidum (VP), substantia innominata (SI), and the magnocellular preoptic nucleus (MA).",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus medial segment (GPm),Secondary motor area (MOs),moderate/weak,Fluorogold,"Labeled cells spread throughout the BF [collator note: basal forebrain], largely confined to the DBh, ventral pallidum (VP), substantia innominata (SI), and the magnocellular preoptic nucleus (MA). Collator note: a band of neurons that crosses ventrodorsally the GPe, in its medial part. This band is continuous with the labeled neurons in SI and MA. See Fig. 1 J, K, which correspond to Swanson Atlas Levels 22-25.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus medial segment (GPm),Anterior cingulate area dorsal part (ACAd),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus medial segment (GPm),Dorsal premammillary nucleus (PMd),does not exist,PHAL,"Collator note: PMd does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Globus pallidus medial segment (GPm),Infralimbic area (ILA),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus medial segment (GPm),Lateral septal nucleus ventral part (LSv),does not exist,Fluorogold,"Collator note: LSv does not receive projection from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Globus pallidus medial segment (GPm),Nucleus incertus compact part (NIc),does not exist,CTB,"Collator note: NIc does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Globus pallidus medial segment (GPm),Nucleus incertus diffuse part (NId),does not exist,CTB,"Collator note: NId does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Globus pallidus medial segment (GPm),Posterior hypothalamic nucleus (PH),does not exist,PHAL,"Collator note: this connection is considered to be non-existent, because all of the atlas levels were inspected",Mihail Bota,"Abrahamson E.E. &... - The posterior hypothalamic area:... (2001) , pp. 1-22"
Globus pallidus medial segment (GPm),Caudoputamen (CP),moderate,HRP/WGA,"Case pg195, fig3. Soma notes In all cases, numerous labeled perikarya found in ipsi caudate putamen. Only part of CP rostal to cross-over of anterior commisure contained labeled neurons. Dorsal EP injs: dorsal CP label. Ventral EP injs: ventral CP label. Dorsal Injs denser label.. Terminal notes Inj sites of WGA-HRP placed in different subregions of EP --entopeduncular nucleus-- ?5 rats injected in dorsal EP, 4 rats had injs placed in ventral part..",Gully Burns,"Fink-Jensen A,... - The striato-entopeduncular pathway in... (1989) , pp. 194-8"
Globus pallidus medial segment (GPm),Secondary motor area (MOs),moderate,Fluorogold,"Labeled cells spread throughout the BF [collator note: basal forebrain], largely confined to the DBh, ventral pallidum (VP), substantia innominata (SI), and the magnocellular preoptic nucleus (MA).",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus medial segment (GPm),Secondary motor area (MOs),moderate/weak,Fluorogold,"Labeled cells spread throughout the BF [collator note: basal forebrain], largely confined to the DBh, ventral pallidum (VP), substantia innominata (SI), and the magnocellular preoptic nucleus (MA). Collator note: a band of neurons that crosses ventrodorsally the GPe, in its medial part. This band is continuous with the labeled neurons in SI and MA. See Fig. 1 J, K, which correspond to Swanson Atlas Levels 22-25.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus medial segment (GPm),Anterior cingulate area dorsal part (ACAd),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus medial segment (GPm),Dorsal premammillary nucleus (PMd),does not exist,PHAL,"Collator note: PMd does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Comoli E.,... - Afferent connections of the dorsal... (2000) , pp. 83-98"
Globus pallidus medial segment (GPm),Infralimbic area (ILA),does not exist,Fluorogold,"Collator note: this connection is considered to be absent, because all of the atlas levels were inspected by authors and collators.",Mihail Bota,"Hoover W.B. & Vertes... - Anatomical analysis of afferent... (2007) , pp. 149-179"
Globus pallidus medial segment (GPm),Lateral septal nucleus ventral part (LSv),does not exist,Fluorogold,"Collator note: LSv does not receive projection from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Risold P.Y., Swanson... - Connections of the lateral septal... (1997) , pp. 115-195"
Globus pallidus medial segment (GPm),Nucleus incertus compact part (NIc),does not exist,CTB,"Collator note: NIc does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Globus pallidus medial segment (GPm),Nucleus incertus diffuse part (NId),does not exist,CTB,"Collator note: NId does not receive projections from this region, because all of the atlas levels were inspected and no label was found.",Mihail Bota,"Goto M., Swanson... - Connections of the nucleus incertus (2001) , pp. 86-122"
Globus pallidus medial segment (GPm),Posterior hypothalamic nucleus (PH),does not exist,PHAL,"Collator note: this connection is considered to be non-existent, because all of the atlas levels were inspected",Mihail Bota,"Abrahamson E.E. &... - The posterior hypothalamic area:... (2001) , pp. 1-22"
